name_id,country,crag,sector,name,tall_recommend_sum,grade_mean,cluster,rating_tot
0,and,montserrat,prohibitivo,diagonal de la x,-1,49.25,3,-0.0452114488928319
1,and,montserrat,prohibitivo,mehir,-1,49.0,2,0.1164640612417504
2,and,montserrat,prohibitivo,pas de la discordia,0,49.0,2,0.1787217497921286
3,and,tartareu,bombo suis,tenedor libre,0,44.333333333333336,3,0.1584492252825125
4,arg,bandurrias,rincon,tendinitis,1,48.5,0,0.0757971842335826
5,arg,bariloche,pared blanca,barbaroja,0,49.0,1,-0.16490179498667
6,arg,bariloche,pared blanca,barbas del capitan,0,46.0,2,-0.0452114488928387
7,arg,bariloche,pared blanca,jack sparrow,0,51.0,1,-0.0452114488928387
8,arg,bariloche,pared blanca,lenguita de gato,0,53.0,2,-0.0739968231582099
9,arg,barrosa,matrix,matrix,0,48.5,0,-0.0452114488928387
10,arg,buitrera,alero,amamantamos la cachorra,0,44.0,2,-0.0734745342424936
11,arg,buitrera,alero,capitan pingaloca,0,44.0,2,-0.0734745342424936
12,arg,buitrera,alero,indomita,0,46.0,2,-0.0734745342424936
13,arg,buitrera,alero,mas chingona,0,46.0,2,-0.0734745342424936
14,arg,buitrera,gruyere,cojo anal,0,40.0,2,-0.0734745342424936
15,arg,buitrera,ongi etorri,algo muy sucio,0,36.0,2,-0.0734745342424936
16,arg,buitrera,ongi etorri,chinchillon,0,40.0,2,-0.0734745342424936
17,arg,buitrera,ongi etorri,vida en el filo,0,32.0,2,-0.0734745342424936
18,arg,buitreras,alero,mickey mouse,0,40.0,2,0.3799699084640194
19,arg,buitreras,alero,planeta agujero,-1,44.5,3,-0.1050566219397543
20,arg,buitreras,alero,punto g,0,34.5,2,-0.0734745342424936
21,arg,buitreras,ongi etorri,algo muy sucio,0,32.5,2,-0.16490179498667
22,arg,buitreras,ongi etorri,chinchillon,0,38.0,2,0.3201247354171039
23,arg,casa de piedra,san martin de los andes,betty la fea,0,40.0,2,-0.16490179498667
24,arg,cerro ventana,abajo,chorro negro,0,49.16666666666666,2,-0.1167804243032491
25,arg,cerro ventana,abajo,conchaqueta,0,44.0,2,0.1973018163090482
26,arg,cerro ventana,abajo,expresso,0,49.0,2,-0.16490179498667
27,arg,cerro ventana,abajo,halcones galacticos,-1,39.5,2,-0.0678964889059152
28,arg,cerro ventana,abajo,reaccion en cadena,0,36.75,3,0.1973018163090482
29,arg,cerro ventana,abajo,spineta,0,44.0,2,-0.0452114488928387
30,arg,cerro ventana,abajo,vamos a morrir,0,38.6,2,-0.1567540872033856
31,arg,cerro ventana,abajo,woody good dog,-1,40.833333333333336,2,0.0042205418661043
32,arg,cerro ventana,visera,forza makita,0,57.0,2,-0.0452114488928387
33,arg,covisal,cueva,canguro magico,1,58.0,7,-0.1088332893835132
34,arg,covisal,cueva,envergadura total,0,48.25,0,-0.0734745342424936
35,arg,covisal,cueva,hormiga atomica,0,56.5,0,0.4492930808653249
36,arg,covisal,cueva,huelga de princesas,-1,55.5,3,-0.0620770605276591
37,arg,covisal,cueva,huntito,-1,63.0,3,-0.0356305124276363
38,arg,covisal,cueva,me la tenes clara,0,53.0,2,-0.0452114488928387
39,arg,covisal,cueva,milena,1,53.5,3,0.4185361493772467
40,arg,covisal,cueva,sauron,1,63.0,0,0.3201247354171039
41,arg,covisal,san martin de los andes,envergadura,0,49.0,2,-0.0734745342424936
42,arg,covisal,san martin de los andes,gran cajeta,0,38.0,2,-0.0734745342424936
43,arg,frey,abuelo,aprendiendo a volar,0,38.66666666666666,6,-0.0734745342424936
44,arg,frey,abuelo,naca naca crunch crunch,0,35.5,6,-0.16490179498667
45,arg,morenhuapi,sector principal,castigo de jehova,0,40.0,2,-0.0734745342424936
46,arg,morenhuapi,sector principal,de primate,0,38.0,1,-0.0734745342424936
47,arg,morenhuapi,sector principal,fuking pinches,0,48.5,0,-0.0734745342424936
48,arg,morenhuapi,sector principal,muchamina,0,53.0,2,-0.0734745342424936
49,arg,morenhuapi,sector principal,pinche cabron,0,49.0,2,-0.16490179498667
50,arg,morenhuapi,sector principal,shantala,0,42.0,2,-0.1776452701234174
51,arg,morenito,playita,boquita de dama,0,57.0,2,-0.0734745342424936
52,arg,morenito,playita,cuiyibo,0,59.0,2,-0.0452114488928387
53,arg,morenito,playita,mi perro dinamita,0,55.0,2,-0.0734745342424936
54,arg,morenito,playita,namaste,0,46.0,2,-0.0452114488928387
55,arg,morenito,playita,siempre es lo mismo nena,0,52.0,2,-0.0734745342424936
56,arg,morenito,playita,tu perro guardian,0,58.0,2,-0.0734745342424936
57,arg,piedra parada,alero,adan en su eden,0,33.0,1,-0.0734745342424936
58,arg,piedra parada,alero,amplio moncada,0,50.66666666666666,3,0.057786590051888
59,arg,piedra parada,alero,capitan pingaloca,0,44.0,2,0.1700335428287377
60,arg,piedra parada,alero,dura de entrarle,-1,53.66666666666666,3,-0.0734745342424936
61,arg,piedra parada,alero,indomita,0,46.0,2,-0.16490179498667
62,arg,piedra parada,alero,mas chingona,-1,46.333333333333336,3,-0.0469881953265264
63,arg,piedra parada,alero,mickey mouse,1,40.0,2,0.076984955612372
64,arg,piedra parada,alero,planeta agujero,0,44.333333333333336,2,-0.1258933861722367
65,arg,piedra parada,alero,ponienola cachonda,-1,47.0,3,0.0744788972009925
66,arg,piedra parada,alero,propulsion a chorro,0,44.2,2,-0.0452114488928387
67,arg,piedra parada,alero,punto g,0,33.0,1,-0.0734745342424936
68,arg,piedra parada,alero,rio de lava,-1,49.125,2,-0.16490179498667
69,arg,piedra parada,anfiteatro,en eleste esta el cachengue,0,49.333333333333336,2,0.0509780745804342
70,arg,piedra parada,anfiteatro,epifania,0,56.833333333333336,1,0.32555654060596
71,arg,piedra parada,anfiteatro,estigma,0,53.0,1,0.3150882872475702
72,arg,piedra parada,anfiteatro,grito de cristal,0,51.0,2,-0.16490179498667
73,arg,piedra parada,anfiteatro,homofobica,0,57.75,1,0.0755585862970829
74,arg,piedra parada,anfiteatro,limites de la partner,0,53.0,2,0.2245237186746174
75,arg,piedra parada,anfiteatro,para entibiar,0,44.0,2,-0.0407479573651713
76,arg,piedra parada,anfiteatro,pongame una cerveza pulpero,0,49.333333333333336,0,0.2182943983294281
77,arg,piedra parada,anfiteatro,revelacion divina,0,51.0,1,0.4853001073193197
78,arg,piedra parada,anfiteatro,sacrificio del corderoy,0,42.5,3,-0.16490179498667
79,arg,piedra parada,anfiteatro,te chifla la cachifla,-1,54.0,0,0.4089033118477692
80,arg,piedra parada,anfiteatro,uyuyui,0,51.0,2,0.3201247354171039
81,arg,piedra parada,anfiteatro,zonda patagonico,0,55.0,1,-0.0304109953970268
82,arg,piedra parada,calavera,coordinacion formacion,-1,67.5,0,-0.1538987693603271
83,arg,piedra parada,calavera,cuarzo,-1,48.91666666666666,2,0.0622441708650191
84,arg,piedra parada,calavera,cumbia de la buitrera,0,62.0,1,0.1647955782365801
85,arg,piedra parada,calavera,dulce duro,1,62.8,0,0.1137476339267298
86,arg,piedra parada,calavera,erizo protegido por alambres de puas,1,39.833333333333336,2,0.0725871034081614
87,arg,piedra parada,calavera,flecha perdida,1,52.8,2,0.1262522789457363
88,arg,piedra parada,calavera,le merlin,1,56.875,0,0.0902579052013432
89,arg,piedra parada,calavera,les yeux qui piquent,1,59.5,1,-0.1680290029899236
90,arg,piedra parada,calavera,mediacratia,0,52.66666666666666,0,0.172507493559189
91,arg,piedra parada,calavera,nueva atras de la flecha,1,38.25,0,-0.0348416162506533
92,arg,piedra parada,calavera,nueva de kopcke,2,39.0,0,0.0070146479184772
93,arg,piedra parada,calavera,nununu,0,49.25,2,-0.0452114488928387
94,arg,piedra parada,calavera,pan blanco,-1,67.66666666666667,0,0.1681946766425092
95,arg,piedra parada,calavera,piedra rolada,0,39.375,1,0.0146337241540769
96,arg,piedra parada,calavera,sofia,0,40.0,1,-0.0452114488928387
97,arg,piedra parada,calavera,sunny twins,0,36.66666666666666,1,-0.0734745342424936
98,arg,piedra parada,calavera,tete du mort,-2,48.3,2,0.0306612822538152
99,arg,piedra parada,calavera,tremble nahir tremble,0,36.0,1,-0.0734745342424936
100,arg,piedra parada,calavera,universal local,0,48.833333333333336,2,-0.16490179498667
101,arg,piedra parada,calavera,vino malbec,1,56.90909090909091,0,-0.0576289686107122
102,arg,piedra parada,circo,a rajatabla,0,33.0,1,-0.0734745342424936
103,arg,piedra parada,circo,alharaca de la bandurria,1,48.8,0,0.0363152799494514
104,arg,piedra parada,circo,angel copulador,0,49.0,2,-0.0709300492100051
105,arg,piedra parada,circo,apriete final,0,57.0,1,-0.0734745342424936
106,arg,piedra parada,circo,aquelarre,0,44.0,2,-0.0452114488928387
107,arg,piedra parada,circo,autofelatio,-2,63.85714285714285,1,0.1164696811209509
108,arg,piedra parada,circo,birlocha party,0,40.0,1,-0.0734745342424936
109,arg,piedra parada,circo,cabernet suavezon,0,46.0,2,0.1374566432621325
110,arg,piedra parada,circo,chaupapa,0,46.0,2,0.1164640612417525
111,arg,piedra parada,circo,clan mono,0,55.0,1,-0.0734745342424936
112,arg,piedra parada,circo,culebron de las marujas,0,40.5,1,0.0750510177109736
113,arg,piedra parada,circo,empanada locro y vino,0,29.0,1,-0.0734745342424936
114,arg,piedra parada,circo,laucha cuchillera,1,46.0,0,-0.0452114488928387
115,arg,piedra parada,circo,mansa panza,0,33.0,1,-0.0734745342424936
116,arg,piedra parada,circo,manso guiso,0,55.0,1,0.1891412389695105
117,arg,piedra parada,circo,mateina cafeina y todas las minas,0,51.0,1,0.2873743809919622
